fold,condition,train_start,train_end,data_path,data_sha256,symbols,bars,years,usable_transitions,candidate_episode_starts,requested_steps,actual_steps,rollouts,episode_equivalents,optimizer_minibatch_steps,sample_presentations,transition_reuse,candidate_start_reuse,ess_max_lag,return_ess_min,return_ess_median,return_ess_max,absolute_return_ess_median,squared_return_ess_median,mom24_ess_median,xr_mom24_ess_median,carry_available,carry_update_events,carry_updated_values,effective_rank,effective_independent_samples
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2021_r16_longf.yaml,8y,2012-07-01,2020-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,2082,7.997262149212868,2018,1891,300000,303104,37,2368.0,2960,3031040,150.2001982160555,1.2522474881015335,252,1825.6563604737535,2081.0,2081.0,177.0692057749904,268.9370176268096,87.87138587663577,101.30641477588726,True,102,778,2.0503765249080734,4266.8335483337005
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2021_r16_longf.yaml,expanding,2003-06-01,2020-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,3861,14.951403148528405,3797,3670,300000,303104,37,2368.0,2960,3031040,79.82723202528312,0.6452316076294278,252,3860.0,3860.0,3860.0,89.2447635546951,143.07820524265986,128.97263356008972,192.39699620511132,True,204,1505,1.7665004712234988,6818.691818922705
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2022_r16_longf.yaml,2y,2019-07-01,2021-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,524,2.001368925393566,460,333,300000,303104,37,2368.0,2960,3031040,658.9217391304347,7.111111111111111,252,406.399083042585,504.4249637761925,523.0,88.18563292394154,75.8146610963762,19.740014757320957,23.248458976018366,True,25,184,2.108587702107411,1063.6242752544556
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2022_r16_longf.yaml,4y,2017-07-01,2021-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,1041,3.994524298425736,977,850,300000,303104,37,2368.0,2960,3031040,310.23950870010236,2.7858823529411763,252,892.9348639674174,1040.0,1040.0,230.0702687242024,219.30729600165805,47.877473436048696,51.29078208053551,True,49,376,2.1118413361483093,2196.3149895942415
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2022_r16_longf.yaml,8y,2013-07-01,2021-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,2085,8.0,2021,1894,300000,303104,37,2368.0,2960,3031040,149.97723899059872,1.2502639915522704,252,1767.5665375263875,2084.0,2084.0,196.80474310199543,308.42486694781894,93.38185608243596,104.10070885132988,True,101,757,2.248657742398124,4686.202735157691
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2022_r16_longf.yaml,expanding,2003-06-01,2021-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,4122,15.950718685831623,4058,3931,300000,303104,37,2368.0,2960,3031040,74.69295219319862,0.6023912490460442,252,4121.0,4121.0,4121.0,87.42282694803971,154.166594135938,137.52442706983317,203.96937013460985,True,216,1589,1.7794947573698474,7333.297895121141
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2023_r16_longf.yaml,2y,2020-07-01,2022-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,523,1.998631074606434,459,332,300000,303104,37,2368.0,2960,3031040,660.3572984749455,7.132530120481928,252,429.20698726646964,473.7223727971433,522.0,85.65029382200565,78.20633812772374,25.08080817278499,27.131366858469956,True,24,173,2.038328596524042,965.6018592856401
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2023_r16_longf.yaml,4y,2018-07-01,2022-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,1044,3.997262149212868,980,853,300000,303104,37,2368.0,2960,3031040,309.28979591836736,2.776084407971864,252,897.7281605745263,962.5865667141638,1043.0,138.63918254143292,156.76976846331553,46.439685676934715,51.57794852910947,True,49,366,2.0148367829690574,1939.4548214075958
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2023_r16_longf.yaml,8y,2014-07-01,2022-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,2086,8.0,2022,1895,300000,303104,37,2368.0,2960,3031040,149.9030662710188,1.2496042216358838,252,1732.1092704673058,2085.0,2085.0,208.14279189881398,316.05050668902817,95.08089979977844,103.56240868208153,True,101,751,2.2033407931567726,4593.96555373187
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2023_r16_longf.yaml,expanding,2003-06-01,2022-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,4383,16.95003422313484,4319,4192,300000,303104,37,2368.0,2960,3031040,70.17920815003473,0.5648854961832062,252,4382.0,4382.0,4382.0,90.39183870209024,163.5776612862782,148.3562125994812,217.82252880963713,True,228,1678,1.7821611238392807,7809.430044663728
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2024_r16_longf.yaml,2y,2021-07-01,2023-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,522,1.995893223819302,458,331,300000,303104,37,2368.0,2960,3031040,661.7991266375545,7.1540785498489425,252,420.03478597011247,486.1788997901626,521.0,170.6386731278384,319.6854107471698,28.062534450157965,27.87558120040649,True,29,201,1.8534813640354844,901.1235303483415
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2024_r16_longf.yaml,4y,2019-07-01,2023-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,1045,3.997262149212868,981,854,300000,303104,37,2368.0,2960,3031040,308.97451580020385,2.7728337236533958,252,872.4110472915444,981.246376246619,1044.0,109.97551128016684,141.62647322786137,48.01770732191581,50.845051504466866,True,54,385,1.971012589663391,1934.0489611436665
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2024_r16_longf.yaml,8y,2015-07-01,2023-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,2085,7.997262149212868,2021,1894,300000,303104,37,2368.0,2960,3031040,149.97723899059872,1.2502639915522704,252,1830.0877941344754,2084.0,2084.0,210.00251903805875,270.11747631613696,96.00030569951515,105.80571507384353,True,104,762,1.9666824984201756,4098.566326707646
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2024_r16_longf.yaml,expanding,2003-06-01,2023-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,4643,17.946611909650922,4579,4452,300000,303104,37,2368.0,2960,3031040,66.1943655820048,0.531895777178796,252,4605.761784068743,4642.0,4642.0,99.61850760993364,174.8999970334777,159.42222496193625,228.96930563871453,True,245,1790,1.788927285451088,8304.20045906395
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2025_r16_longf.yaml,2y,2022-07-01,2024-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,522,2.001368925393566,458,331,300000,303104,37,2368.0,2960,3031040,661.7991266375545,7.1540785498489425,252,521.0,521.0,521.0,208.14070898343846,263.49555328235795,26.7279545994355,28.352497618000935,True,32,219,1.8889265060895057,984.1307096726325
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2025_r16_longf.yaml,4y,2020-07-01,2024-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,1044,4.0,980,853,300000,303104,37,2368.0,2960,3031040,309.28979591836736,2.776084407971864,252,962.6760101688944,1043.0,1043.0,92.4794530224904,212.90785927252293,52.022064482916306,53.08512170772279,True,56,392,1.9573988492291265,2041.566999745979
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2025_r16_longf.yaml,8y,2016-07-01,2024-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,2084,8.0,2020,1893,300000,303104,37,2368.0,2960,3031040,150.05148514851484,1.2509244585314316,252,1935.7355568482724,2083.0,2083.0,243.70846425663447,307.10168126504965,96.2183304239137,107.03023734245923,True,105,776,1.9835138170099655,4131.659280831758
/home/tsuyoshi/workspace/projects/forex-trainer/configs/wf_r16_long_full/wf2025_r16_longf.yaml,expanding,2003-06-01,2024-07-01,/home/tsuyoshi/workspace/projects/forex-trainer/data/jpy_9pairs_1d_2003_carry.parquet,723db7c935dcc27c147007728358d098243eae96998eae146db4c7df02bd081e,9,4904,18.951403148528406,4840,4713,300000,303104,37,2368.0,2960,3031040,62.62479338842975,0.5024400594101421,252,4903.0,4903.0,4903.0,105.80294463344134,180.94118382657254,168.52822016994037,241.73023084621263,True,260,1897,1.7933323402815435,8792.708464400408
