policy,candidate,fold,era,first_timestamp,bucket_index,observation_count,minimum_candidate_value,maximum_candidate_value,mean_next_net_return,mean_next_gross_return,mean_next_cost_ratio,mean_forward_max_drawdown
rule,realized_market_volatility,2017,2009-2018,2017-03-30T00:00:00+01:00,0,59,0.003197365816040022,0.0042051684528466495,-0.0004500527208328444,-0.0003150303586818947,0.00013496184247111217,0.027451697004701875
rule,realized_market_volatility,2017,2009-2018,2017-03-30T00:00:00+01:00,1,59,0.00421065790946588,0.004867278066417882,-0.001330288803210797,-0.0011891939303160298,0.00014084113428604423,0.02782831857156253
rule,realized_market_volatility,2017,2009-2018,2017-03-30T00:00:00+01:00,2,58,0.004917340107028429,0.00585231939218697,0.0004720610483266978,0.0005915330848594515,0.00011953040403965045,0.009189867324617863
rule,realized_market_volatility,2018,2009-2018,2018-03-29T00:00:00+01:00,0,60,0.002915511766540914,0.004548720317890226,-0.0004914284337471147,-0.0003691824770000884,0.00012225942626571296,0.02010499907823021
rule,realized_market_volatility,2018,2009-2018,2018-03-29T00:00:00+01:00,1,60,0.00455746940137441,0.00497160521004199,-0.0014152305852670427,-0.001288782651965501,0.00012630567169161306,0.02058730368259579
rule,realized_market_volatility,2018,2009-2018,2018-03-29T00:00:00+01:00,2,59,0.004978895016085965,0.005812172570003842,9.238608634584265e-05,0.00022917758722327357,0.00013686450321269972,0.020525578829707108
rule,realized_market_volatility,2019,2019-2025,2019-03-29T00:00:00+00:00,0,60,0.0026789660395625478,0.0033663574408450575,-0.0009926271192843628,-0.0008651030554325006,0.00012741190951928968,0.020587636089345336
rule,realized_market_volatility,2019,2019-2025,2019-03-29T00:00:00+00:00,1,59,0.0033669557016865206,0.004028532842638582,0.0008475881484831647,0.0009923448077791529,0.0001449293919445021,0.012223803757488199
rule,realized_market_volatility,2019,2019-2025,2019-03-29T00:00:00+00:00,2,59,0.004034947158410472,0.006402239902777598,-0.0005426664095689512,-0.0004053990051990775,0.00013717590385139603,0.012758376658809772
rule,realized_market_volatility,2020,2019-2025,2020-03-30T00:00:00+01:00,0,60,0.0031363840388832012,0.0046234327489853705,0.0021482346960622757,0.0022929525894899295,0.00014508088709140921,0.012079649982161843
rule,realized_market_volatility,2020,2019-2025,2020-03-30T00:00:00+01:00,1,60,0.004623981318599298,0.006086553524467014,-0.0016884870507921645,-0.0015517720080968577,0.00013650440526055945,0.030763659265714418
rule,realized_market_volatility,2020,2019-2025,2020-03-30T00:00:00+01:00,2,60,0.006310879064607762,0.010743963606083654,0.0010448944690514448,0.0011749070900738971,0.00013017336670237084,0.02520859887411813
rule,realized_market_volatility,2021,2019-2025,2021-03-31T00:00:00+01:00,0,60,0.0024477885216367553,0.003826689851665985,7.639005023599616e-06,0.00015283935929747886,0.00014511982877332165,0.00913847679549667
rule,realized_market_volatility,2021,2019-2025,2021-03-31T00:00:00+01:00,1,59,0.0038273111141985993,0.004280753510903467,0.00173487518599083,0.0018851778715007035,0.0001506309119363756,0.009059943641998235
rule,realized_market_volatility,2021,2019-2025,2021-03-31T00:00:00+01:00,2,59,0.004288032695750378,0.005048558070038462,-0.0005396382439409355,-0.00040962375199058207,0.00012978172673193587,0.02130256454174792
