policy,candidate,fold,era,first_timestamp,high_minus_low_next_net_return,high_minus_low_next_gross_return,high_minus_low_next_cost_ratio,high_minus_low_next_drawdown_change,rank_association_next_net_return,rank_association_next_gross_return,rank_association_next_cost_ratio,rank_association_next_drawdown_change
agent,momentum_dispersion,2018,2009-2018,2018-03-29T00:00:00+01:00,0.0044708703377710195,0.0044707303110055815,2.487220311755457e-07,-0.01902397979355832,0.20788818446215973,0.2084426589667943,-0.0025526750779402843,-0.43019762883465434
agent,momentum_dispersion,2019,2019-2025,2019-03-29T00:00:00+00:00,-0.00036366054345192205,-0.0003649182170082895,-1.2234729967645024e-06,-0.017312211338197617,-0.04087649173501403,-0.04186592817117038,0.008416593168207386,-0.02056406259984901
agent,momentum_dispersion,2020,2019-2025,2020-03-30T00:00:00+01:00,0.0029560474924181686,0.0029428259225866356,-1.286982093546391e-05,-0.015414965753040577,0.0895274545510664,0.0881035422903999,-0.17219667273681283,-0.3707525759248294
agent,momentum_dispersion,2021,2019-2025,2021-03-31T00:00:00+01:00,0.0007834660007195679,0.0007967343457875646,1.3331070680077959e-05,0.0009359871197481169,0.01053164653925988,0.010999767003677939,0.06813174186560901,-0.014214218694822561
agent,momentum_dispersion,2022,2019-2025,2022-03-31T00:00:00+01:00,0.0014716656821485853,0.0014764444655668357,4.913360117849588e-06,0.04460844578828542,0.05285356901715692,0.05306564983293225,-0.02196551306244698,0.13860962332512033
agent,momentum_dispersion,2023,2019-2025,2023-03-30T00:00:00+01:00,-0.0006319339889798489,-0.0006355326123662174,-3.672802014629447e-06,0.006091102887637326,-0.011597684505957367,-0.010295458486758042,0.0022033579132040826,0.2225676911077384
agent,momentum_dispersion,2024,2019-2025,2024-03-28T00:00:00+00:00,-0.0009067611287471018,-0.0009018069087754082,4.819337675967465e-06,0.008067741053906445,-0.05583872115163309,-0.05360199192350344,0.03603038101814073,0.15869148631948485
agent,momentum_dispersion,2025,2019-2025,2025-04-01T00:00:00+01:00,-4.5436168647041905e-05,-4.927374249398368e-05,-3.822930827687652e-06,0.0045650509689746255,-0.04577009595945214,-0.04667900566644836,-0.14223981320652637,0.11131859023399544
agent,carry_dispersion,2009,2009-2018,2009-04-03T00:00:00+01:00,-0.001823580970367289,-0.0018160263503202098,7.015358212720174e-06,0.055600758384827004,-0.0635271146041718,-0.06277849908124981,0.1929368249031294,0.32841428270703654
agent,carry_dispersion,2010,2009-2018,2010-03-31T00:00:00+01:00,-0.0011572409549719116,-0.0011492284153081058,8.012096948599231e-06,-0.03537625645858648,-0.06914659592662005,-0.0679850445554058,0.08506970789732475,-0.06281966871931872
agent,carry_dispersion,2011,2009-2018,2011-03-31T00:00:00+01:00,-0.0006550287629373919,-0.000660029084734643,-4.74813232576752e-06,0.009213547165408762,-0.07361837838552267,-0.07334939518153388,-0.012486133913553396,0.22746103527974956
agent,carry_dispersion,2012,2009-2018,2012-03-29T00:00:00+01:00,-0.0012341800480371533,-0.0012265190241988358,7.628579147691029e-06,0.02018552211590687,-0.02887287732648442,-0.028156303838896578,0.1395658078216694,0.1648345953115278
agent,carry_dispersion,2013,2009-2018,2013-04-01T00:00:00+01:00,0.0023133891764289963,0.0022715400451158553,-4.1393086047366174e-05,-0.02072450775201715,0.02063571459432407,0.01958599756118614,-0.24709118105365724,-0.17139532470071128
agent,carry_dispersion,2014,2009-2018,2014-03-31T00:00:00+01:00,-0.0005513894031535216,-0.0005541365439214787,-2.6902447653924326e-06,0.031810554584893964,0.003148104191816287,0.004106955050640973,-0.006175167934933519,0.2902693249135472
agent,carry_dispersion,2015,2009-2018,2015-03-31T00:00:00+01:00,-0.0014787684534855413,-0.001469715047814168,8.703037030242318e-06,0.04663709388575077,-0.06256472652271615,-0.06276174261896679,0.05347459348287386,0.04741082739172094
agent,carry_dispersion,2016,2009-2018,2016-03-30T00:00:00+01:00,-0.0020416228807703315,-0.002059271382681218,-1.7789194309364153e-05,0.01623367720399035,-0.09814025498638605,-0.09761012604045524,-0.15304126540103416,0.38832152054847213
agent,carry_dispersion,2017,2009-2018,2017-03-30T00:00:00+01:00,0.0017695749954228868,0.0017934675700889214,2.417363512141992e-05,-0.0037062672831355524,0.09689643130913882,0.0968798022478872,0.238639223605745,-0.15680716475583942
agent,carry_dispersion,2018,2009-2018,2018-03-29T00:00:00+01:00,0.0011010529365941162,0.0010913067466135074,-9.632326666060025e-06,0.004929115702662957,0.0624221460686893,0.06198166296623956,-0.07932489478470281,-0.012782787531551454
agent,carry_dispersion,2019,2019-2025,2019-03-29T00:00:00+00:00,0.0004645251818662675,0.0004724523674121681,7.941009307244507e-06,-0.008953939925945948,0.05053289530670346,0.0514709900826777,0.1216364099646502,-0.2374740551086858
agent,carry_dispersion,2020,2019-2025,2020-03-30T00:00:00+01:00,0.0014869259496452165,0.0014692839846596015,-1.7417748282298306e-05,-0.007116179501239186,0.03280473037548421,0.030409286732375137,-0.24788386512552021,-0.10241956324121619
agent,carry_dispersion,2021,2019-2025,2021-03-31T00:00:00+01:00,-0.0021898558064307903,-0.0021943600890268694,-4.753485735845385e-06,0.02064152355805611,-0.05131399636965722,-0.05277450791851797,-0.1309327708487468,0.016235519167552465
agent,carry_dispersion,2022,2019-2025,2022-03-31T00:00:00+01:00,0.003013786108574668,0.0029949323270908107,-1.8596411539481675e-05,-0.04801716521001288,0.11594906666414778,0.11430636779832798,-0.1826247875605011,-0.33592436938186815
agent,carry_dispersion,2023,2019-2025,2023-03-30T00:00:00+01:00,0.0014932950959286066,0.001498747244638946,5.569877685840212e-06,-0.01199007870627575,0.02702246862857511,0.026578986820497495,0.03705156927630625,-0.14681988975589175
agent,carry_dispersion,2024,2019-2025,2024-03-28T00:00:00+00:00,-0.002021236260428971,-0.0020294827011613876,-8.469150119019405e-06,4.770687281777791e-06,-0.14528474094375093,-0.14421962052245638,-0.0757677411151898,-0.07520255447049647
agent,carry_dispersion,2025,2019-2025,2025-04-01T00:00:00+01:00,-0.0017085879241538911,-0.0017078820754972343,6.464149589509018e-07,0.00567990562351894,-0.11167716856126748,-0.11008531425735672,0.12963191084667247,0.30480484964903515
agent,trend_reversal_proxy,2009,2009-2018,2009-04-03T00:00:00+01:00,0.0008963615035187272,0.000889658659181124,-6.823044305544787e-06,0.021254638694517436,-0.04546555139775479,-0.04583975346687211,-0.11760950913493286,0.1351324295160786
agent,trend_reversal_proxy,2010,2009-2018,2010-03-31T00:00:00+01:00,-0.001673958410283079,-0.0016744422015489938,-7.011421570531567e-07,0.0211190698335716,0.10105550525624807,0.09992137704018068,-0.02374328273731314,0.07708377851841897
agent,trend_reversal_proxy,2011,2009-2018,2011-03-31T00:00:00+01:00,0.0038392469787926977,0.003852428457583529,1.3483461112719764e-05,-0.01211958889441839,0.1462293638564825,0.14695355491965661,0.1582258419546555,-0.22317178680269925
agent,trend_reversal_proxy,2012,2009-2018,2012-03-29T00:00:00+01:00,-0.0009336416189410833,-0.0009234169332160806,9.484778542521744e-06,0.006905447040926164,-0.0611439800240231,-0.06109929579787409,0.009578383048081292,0.16032861977544816
agent,trend_reversal_proxy,2013,2009-2018,2013-04-01T00:00:00+01:00,-0.0029089048482724756,-0.0028975422948226727,1.111954251772432e-05,0.03013053843349546,-0.04687202437630928,-0.04772467581932447,0.07503332698533613,0.3463545898598165
agent,trend_reversal_proxy,2014,2009-2018,2014-03-31T00:00:00+01:00,-5.31711022697624e-05,-5.321825546880302e-05,-1.9067204861273343e-07,0.005506743298218451,-0.04327202728433035,-0.04221957190383529,0.03934048919297805,0.10856393018157647
agent,trend_reversal_proxy,2015,2009-2018,2015-03-31T00:00:00+01:00,-0.0006595787924764118,-0.0006655475326577728,-5.867160541318781e-06,-0.03258820931689402,0.036909170799070995,0.03660787144560919,-0.01605046764170485,-0.1595298995835391
agent,trend_reversal_proxy,2016,2009-2018,2016-03-30T00:00:00+01:00,-0.00253196188987323,-0.00252942631866551,2.328066728093844e-06,-0.00011039298182055277,-0.11660774377639162,-0.11576938258102476,0.09499121742174142,0.059149117457742886
