scope,feature,fold_count,mean_standardized_coefficient,sign,mean_absolute_magnitude,positive_fold_fraction,negative_fold_fraction
aggregate,log_return_lag_18,17,-0.0013763464011215733,negative,0.0013763464011215733,0.0,1.0
aggregate,volatility_lag_18,17,-0.0006694755830072315,negative,0.0006694755830072315,0.0,1.0
aggregate,sma20_ratio_lag_18,17,0.005145678359004774,positive,0.005145678359004774,1.0,0.0
aggregate,mom24_lag_18,17,-0.00031567173435150957,negative,0.0003577425233015279,0.058823529411764705,0.9411764705882353
aggregate,xz_mom24_lag_18,17,1.27542457349731e-05,positive,0.0001718115836961926,0.7647058823529411,0.23529411764705882
aggregate,xr_mom24_lag_18,17,-1.3635358255450975e-05,negative,3.419089422738225e-05,0.29411764705882354,0.7058823529411765
aggregate,carry_annual_lag_18,17,0.0022090308225226484,positive,0.0022090308225226484,1.0,0.0
aggregate,xz_carry_lag_18,17,-5.3622019257021876e-05,negative,0.0010995991035625703,0.7058823529411765,0.29411764705882354
aggregate,log_return_lag_17,17,0.0008859353775829925,positive,0.0008859353775829925,1.0,0.0
aggregate,volatility_lag_17,17,-3.884976148696715e-05,negative,0.0001683325106407126,0.5294117647058824,0.47058823529411764
aggregate,sma20_ratio_lag_17,17,0.0008719101384469669,positive,0.0009697123866005096,0.8235294117647058,0.17647058823529413
aggregate,mom24_lag_17,17,-0.00015568800354371455,negative,0.00020914934828489116,0.23529411764705882,0.7647058823529411
aggregate,xz_mom24_lag_17,17,-0.0002750361618537843,negative,0.0003407658198404189,0.058823529411764705,0.9411764705882353
aggregate,xr_mom24_lag_17,17,0.0003092490792144889,positive,0.0003092490792144889,1.0,0.0
aggregate,carry_annual_lag_17,17,0.0011586725913936497,positive,0.0011645223478677672,0.8823529411764706,0.11764705882352941
aggregate,xz_carry_lag_17,17,-0.0006164323861824632,negative,0.00080564831414646,0.4117647058823529,0.5882352941176471
aggregate,log_return_lag_16,17,0.0014665754734844818,positive,0.0014665754734844818,1.0,0.0
aggregate,volatility_lag_16,17,0.0004913928471023091,positive,0.0004913928471023091,1.0,0.0
aggregate,sma20_ratio_lag_16,17,-0.0022715056541255,negative,0.0022715056541255,0.0,1.0
aggregate,mom24_lag_16,17,-0.0004774336866305447,negative,0.0004774336866305447,0.0,1.0
aggregate,xz_mom24_lag_16,17,0.00035391685062471603,positive,0.00035391685062471603,1.0,0.0
aggregate,xr_mom24_lag_16,17,-0.00016631417753191764,negative,0.00016631417753191764,0.0,1.0
aggregate,carry_annual_lag_16,17,-0.002341600980883021,negative,0.002341600980883021,0.0,1.0
aggregate,xz_carry_lag_16,17,-0.00012739112063322184,negative,0.0013773932972055987,0.17647058823529413,0.8235294117647058
