fold,era,score,selected_alpha,mean_rank_ic,median_rank_ic,positive_rank_ic_fraction,rank_ic_observation_fraction,mean_tail_spread,tail_ordering_accuracy,mean_top_overlap,mean_bottom_overlap,mean_score_dispersion,mean_rank_churn
2014,2009-2018,ppo,,0.012454383088798931,0.016666666666666666,0.51010101010101,1.0,0.00014211063267849803,0.5252525252525253,0.2196969696969697,0.2297979797979798,0.2005903477154172,0.10617597292724196
2015,2009-2018,supervised,10.0,0.027742572505461603,0.041666666666666664,0.5252525252525253,1.0,1.178938964795239e-05,0.5050505050505051,0.2474747474747475,0.2297979797979798,0.0003690335240198593,0.3956570783981952
2015,2009-2018,reversal,,-0.00341067912519199,0.058333333333333334,0.5202020202020202,1.0,0.00026821767301599294,0.51010101010101,0.21717171717171718,0.2398989898989899,0.02024599822302968,0.08587140439932317
2015,2009-2018,ppo,,0.008937382272835725,0.016666666666666666,0.5151515151515151,1.0,-0.0002804039880828567,0.4898989898989899,0.23484848484848486,0.22474747474747475,0.17420868942235032,0.1170332769317541
2016,2009-2018,supervised,10.0,-0.020389170896785113,-0.049999999999999996,0.4365482233502538,1.0,-0.0002689913561326364,0.4720812182741117,0.24619289340101522,0.1751269035532995,0.00036967879640647833,0.3854875283446712
2016,2009-2018,reversal,,0.049153976311336715,0.06666666666666667,0.5431472081218274,1.0,9.38807281195647e-05,0.49238578680203043,0.2766497461928934,0.24873096446700507,0.018125731698365056,0.08772675736961452
2016,2009-2018,ppo,,-0.01438240270727581,-0.03333333333333333,0.4416243654822335,1.0,-5.715293833083417e-05,0.5025380710659898,0.23096446700507614,0.23857868020304568,0.1406823118663712,0.11635487528344668
2017,2009-2018,supervised,0.0,-0.002136752136752129,0.0,0.49743589743589745,1.0,-1.6809610325096125e-07,0.49230769230769234,0.2153846153846154,0.23076923076923078,0.00033218699603488423,0.36798396334478806
2017,2009-2018,reversal,,0.0252991452991453,0.03333333333333333,0.517948717948718,1.0,-5.402590644696378e-05,0.48717948717948717,0.24358974358974358,0.258974358974359,0.015194904880197148,0.07674684994272624
2017,2009-2018,ppo,,0.008461538461538463,0.049999999999999996,0.5282051282051282,1.0,0.00010817396129863332,0.5333333333333333,0.21794871794871795,0.2358974358974359,0.1945006040308937,0.10065864833906071
2018,2009-2018,supervised,1.0,0.024915824915824912,0.016666666666666666,0.5151515151515151,1.0,4.897600089274608e-05,0.5050505050505051,0.22474747474747475,0.25,0.00030204701587968326,0.3650592216582065
2018,2009-2018,reversal,,-0.0398989898989899,-0.008333333333333333,0.48484848484848486,1.0,-0.0003320403773727804,0.4696969696969697,0.2222222222222222,0.21212121212121213,0.014381030744645475,0.07910321489001693
2018,2009-2018,ppo,,-0.01380471380471381,0.008333333333333333,0.5,1.0,3.5412022916091136e-05,0.48484848484848486,0.24242424242424243,0.1919191919191919,0.21545052126228528,0.1047659334461365
2019,2019-2025,supervised,0.1,-0.05812182741116751,-0.049999999999999996,0.43147208121827413,1.0,-0.00020859560399636082,0.4619289340101523,0.21065989847715735,0.17766497461928935,0.00031522051444862124,0.3645124716553288
2019,2019-2025,reversal,,-0.014043993231810496,-0.016666666666666666,0.4619289340101523,1.0,-5.186101063179325e-05,0.47715736040609136,0.21573604060913706,0.21065989847715735,0.01208303037816554,0.08361678004535149
2019,2019-2025,ppo,,-0.014636209813874784,0.016666666666666666,0.5076142131979695,1.0,-0.0002948698931973143,0.5025380710659898,0.2131979695431472,0.17766497461928935,0.17937482052498774,0.09013605442176871
2020,2019-2025,supervised,10.0,0.003936348408710222,0.0,0.48743718592964824,1.0,0.0001809200402098805,0.4723618090452261,0.24371859296482412,0.22110552763819097,0.0003908151222017947,0.3331930415263748
2020,2019-2025,reversal,,0.01289782244556114,0.016666666666666666,0.5025125628140703,1.0,0.00037968986156532186,0.5226130653266332,0.24623115577889448,0.2814070351758794,0.016894024117037828,0.08922558922558924
2020,2019-2025,ppo,,-0.005360134003350081,-0.03333333333333333,0.4271356783919598,1.0,-3.5329662145625e-05,0.49748743718592964,0.25125628140703515,0.1984924623115578,0.20083742350118455,0.10535914702581371
2021,2019-2025,supervised,1.0,0.011928934010152282,0.016666666666666666,0.5025380710659898,1.0,-5.819574742074394e-05,0.5431472081218274,0.26903553299492383,0.20558375634517767,0.00033536439896160106,0.34764739229024944
2021,2019-2025,reversal,,0.048561759729272416,0.08333333333333334,0.5482233502538071,1.0,0.000475719164518349,0.5380710659898477,0.24873096446700507,0.27411167512690354,0.01188398580770302,0.09637188208616779
2021,2019-2025,ppo,,0.026395939086294416,0.016666666666666666,0.5279187817258884,1.0,0.00017739315768547508,0.5431472081218274,0.233502538071066,0.24111675126903553,0.185896681484262,0.11352040816326531
2022,2019-2025,supervised,0.0,0.011224489795918374,0.0,0.49489795918367346,1.0,-5.165991146070962e-06,0.4744897959183674,0.2193877551020408,0.23979591836734693,0.00045027324167323086,0.3575498575498576
2022,2019-2025,reversal,,0.028486394557823123,0.08333333333333334,0.5663265306122449,1.0,0.00028761795446719023,0.5357142857142857,0.27040816326530615,0.23469387755102042,0.018757297930594587,0.08874643874643874
2022,2019-2025,ppo,,-0.01113945578231293,-0.049999999999999996,0.45918367346938777,1.0,-2.9181830052703624e-05,0.5,0.21428571428571427,0.2372448979591837,0.24146260730003902,0.09301994301994303
2023,2019-2025,supervised,10.0,0.02749576988155668,0.06666666666666667,0.5228426395939086,1.0,0.0002885462176520959,0.5076142131979695,0.24111675126903553,0.23096446700507614,0.0002653145499114913,0.3499149659863946
2023,2019-2025,reversal,,-0.015228426395939089,0.0,0.49746192893401014,1.0,-5.741558253293827e-05,0.49746192893401014,0.22081218274111675,0.23604060913705585,0.015256087846159918,0.07851473922902495
2023,2019-2025,ppo,,-0.013028764805414554,-0.016666666666666666,0.4873096446700508,1.0,-6.425512722008055e-05,0.5025380710659898,0.21573604060913706,0.23857868020304568,0.17593849196753159,0.08205782312925171
2024,2019-2025,supervised,0.1,0.004629629629629631,0.008333333333333333,0.5,1.0,-9.97745485698299e-05,0.5050505050505051,0.2196969696969697,0.21717171717171718,0.0002606305499547394,0.3629441624365482
2024,2019-2025,reversal,,0.04654882154882154,0.058333333333333334,0.5555555555555556,1.0,0.0004286542035313626,0.5606060606060606,0.29545454545454547,0.24242424242424243,0.012066999040815572,0.09193457416807672
2024,2019-2025,ppo,,-0.028030303030303034,-0.016666666666666666,0.4595959595959596,1.0,-0.00015397443153066268,0.494949494949495,0.22727272727272727,0.1919191919191919,0.2066545473955732,0.11802030456852793
2025,2019-2025,supervised,10.0,0.02668393782383419,0.049999999999999996,0.5440414507772021,1.0,0.0006630507234908821,0.5854922279792746,0.24870466321243523,0.21761658031088082,0.0002522752060511989,0.3680555555555556
2025,2019-2025,reversal,,0.07728842832469776,0.08333333333333334,0.5958549222797928,1.0,0.0007823114379187666,0.6217616580310881,0.2538860103626943,0.27202072538860106,0.011458556678357006,0.10402199074074074
2025,2019-2025,ppo,,0.03609671848013817,0.03333333333333333,0.5284974093264249,1.0,0.00046798268762587614,0.5181347150259067,0.22279792746113988,0.24352331606217617,0.17878912086688714,0.12890625
