scenario,fold,policy,status,result_path,pairs_path,coverage.measurement_start,coverage.measurement_end,coverage.first_decision,coverage.last_mark,coverage.planned_last_mark,coverage.initial_flat_seconds,coverage.trailing_coverage_gap_seconds,coverage.elapsed_seconds,metrics.steps,metrics.cumulative_log_return,metrics.gross_cumulative_log_return,metrics.annualized_net_return,metrics.annualized_gross_return,metrics.final_equity_ratio,metrics.sharpe_annualized,metrics.max_drawdown,metrics.total_cost_ratio,metrics.mean_gross_leverage,metrics.mean_weight_turnover,metrics.total_weight_turnover,metrics.terminated_by_margin_call,metrics.eval_start,metrics.eval_end,metrics.annualized_gross_minus_net,metrics.total_price_pnl_jpy,metrics.total_financing_jpy,metrics.total_spread_jpy,metrics.total_commission_jpy,metrics.total_overnight_jpy,metrics.total_actual_traded_notional_jpy,metrics.mean_target_gross_exposure,metrics.mean_target_net_exposure,metrics.period_net_return,metrics.period_gross_return,metrics.annualized_net_volatility
F0,2012,ppo_ens3,complete,fold-2012/F0-ppo_ens3.json.gz,fold-2012/F0-ppo_ens3-pairs.csv.gz,2012-01-01T00:00:00+00:00,2012-12-04T00:00:00+00:00,2012-01-02T00:00:00+00:00,2012-12-03T00:00:00+00:00,2012-12-03T00:00:00+00:00,86400.0,86400.0,29030400.0,240,-0.09626694428437299,-0.06682845138412202,-0.09935790000086206,-0.07007013229673423,0.9082215391574108,-0.29866902555614827,0.43474369841118776,0.0225063309025431,2.894065877263114,1.0946564862875057,262.71755670900137,False,2012-01-02T00:00:00+00:00,2012-12-03T00:00:00+00:00,0.02928776770412783,-58349.861729382385,-10922.268210664204,7555.025716008699,0.0,14951.305186534413,200314891.63733375,2.890303197777757,1.3032870744026392,-0.09177846084258923,-0.06464435345917553,0.3496481851947681
F1,2012,canonical,complete,fold-2012/F1-canonical.json.gz,fold-2012/F1-canonical-pairs.csv.gz,2012-01-01T00:00:00+00:00,2012-12-04T00:00:00+00:00,2012-01-02T00:00:00+00:00,2012-12-03T00:00:00+00:00,2012-12-03T00:00:00+00:00,86400.0,86400.0,29030400.0,240,-0.0715613566162752,-0.030572244956342906,-0.07484226185722817,-0.03268749686322126,0.9309391565658981,-0.7011272089393773,0.1429968277284328,0.038276696423263534,3.199722272383382,1.1066666831572851,265.6000039577484,False,2012-01-02T00:00:00+00:00,2012-12-03T00:00:00+00:00,0.04215476499400691,-27220.943932418217,-3563.2030784196277,18236.481191642397,0.0,20040.215231621118,252998005.80424473,3.200000047683716,0.0,-0.0690608434341019,-0.030109640150645878,0.11071998559463724
F1,2012,ridge,complete,fold-2012/F1-ridge.json.gz,fold-2012/F1-ridge-pairs.csv.gz,2012-01-01T00:00:00+00:00,2012-12-04T00:00:00+00:00,2012-01-02T00:00:00+00:00,2012-12-03T00:00:00+00:00,2012-12-03T00:00:00+00:00,86400.0,86400.0,29030400.0,240,-0.0851755039243136,0.0276712398893083,-0.0884331398211938,0.03053709743025429,0.9183510960360246,-0.9030119806226288,0.11245378917840232,0.1062390116352161,3.1998530153835953,5.160000076889991,1238.400018453598,False,2012-01-02T00:00:00+00:00,2012-12-03T00:00:00+00:00,0.11897023725144809,27233.07473952114,-2642.9670682802634,85979.11877314406,0.0,20259.892862071967,1167206333.0187335,3.200000047683716,0.0,-0.0816489039639754,0.02805764451244344,0.10232116498505531
F1,2012,ppo_ens3,complete,fold-2012/F1-ppo_ens3.json.gz,fold-2012/F1-ppo_ens3-pairs.csv.gz,2012-01-01T00:00:00+00:00,2012-12-04T00:00:00+00:00,2012-01-02T00:00:00+00:00,2012-12-03T00:00:00+00:00,2012-12-03T00:00:00+00:00,86400.0,86400.0,29030400.0,240,-0.10616226737680229,-0.06682845138412086,-0.10899395934842127,-0.07007013229673306,0.8992787126382508,-0.3294012082975455,0.436036062101008,0.02992160595049458,2.8941759542113177,1.0946564862875057,262.71755670900137,False,2012-01-02T00:00:00+00:00,2012-12-03T00:00:00+00:00,0.0389238270516882,-59892.10894809358,-10907.57246316226,15034.45500922547,0.0,14887.150941269107,199312465.66708493,2.890303197777757,1.3032870744026392,-0.10072128736174923,-0.06464435345917444,0.3496143696082041
F2,2012,canonical,complete,fold-2012/F2-canonical.json.gz,fold-2012/F2-canonical-pairs.csv.gz,2012-01-01T00:00:00+00:00,2012-12-04T00:00:00+00:00,2012-01-02T00:00:00+00:00,2012-12-03T00:00:00+00:00,2012-12-03T00:00:00+00:00,86400.0,86400.0,29030400.0,240,-0.08334112840894892,-0.030572244956341903,-0.08661360321294484,-0.032687496863220214,0.9200372428414938,-0.8154347172864925,0.15006130745984858,0.048904616822165396,3.1998795158298363,1.1066666831572851,265.6000039577484,False,2012-01-02T00:00:00+00:00,2012-12-03T00:00:00+00:00,0.053926106349724626,-27508.03976146903,-3550.1005748721154,9061.813111832103,0.0,39842.8037103333,251423702.19185653,3.200000047683716,0.0,-0.0799627571585062,-0.030109640150644903,0.11087010415215393
F2,2012,ridge,complete,fold-2012/F2-ridge.json.gz,fold-2012/F2-ridge-pairs.csv.gz,2012-01-01T00:00:00+00:00,2012-12-04T00:00:00+00:00,2012-01-02T00:00:00+00:00,2012-12-03T00:00:00+00:00,2012-12-03T00:00:00+00:00,86400.0,86400.0,29030400.0,240,-0.06100675385732818,0.027671239889305865,-0.06416641270413505,0.03053709743025156,0.940816885611535,-0.6469817310886524,0.09512937244004427,0.08450542231383865,3.1995306571185167,5.160000076889991,1238.400018453598,False,2012-01-02T00:00:00+00:00,2012-12-03T00:00:00+00:00,0.0947035101343866,28001.646790256567,-2679.338864882349,43501.839567260045,0.0,41003.58274657857,1181130254.8429146,3.200000047683716,0.0,-0.05918311438846502,0.02805764451244094,0.10228929284399178
F2,2012,ppo_ens3,complete,fold-2012/F2-ppo_ens3.json.gz,fold-2012/F2-ppo_ens3-pairs.csv.gz,2012-01-01T00:00:00+00:00,2012-12-04T00:00:00+00:00,2012-01-02T00:00:00+00:00,2012-12-03T00:00:00+00:00,2012-12-03T00:00:00+00:00,86400.0,86400.0,29030400.0,240,-0.11581505900430067,-0.0668284513841253,-0.11829449520055958,-0.07007013229673754,0.8906399239013912,-0.35914760362162035,0.43864678213810226,0.03708586358157251,2.8943490521719086,1.0946564862875057,262.71755670900137,False,2012-01-02T00:00:00+00:00,2012-12-03T00:00:00+00:00,0.04822436290382204,-61389.318577518534,-10884.89393951675,7471.330231569853,0.0,29614.533350002665,198095805.98083204,2.890303197777757,1.3032870744026392,-0.10936007609860876,-0.0646443534591786,0.3498133154328509
F0,2013,canonical,complete,fold-2013/F0-canonical.json.gz,fold-2013/F0-canonical-pairs.csv.gz,2013-04-15T23:00:00+00:00,2013-10-07T23:00:00+00:00,2013-04-15T23:00:00+00:00,2013-10-06T23:00:00+00:00,2013-10-06T23:00:00+00:00,0.0,86400.0,15033600.0,124,0.10260140688597919,0.12023354416208153,0.2403263183695315,0.28709378005297514,1.1080496600783019,1.4624395183455101,0.06932532625185384,0.018387275326002494,3.19827854023601,1.3419355038673646,166.40000247955322,False,2013-04-15T23:00:00+00:00,2013-10-06T23:00:00+00:00,0.046767461683443645,120170.46906206149,6266.4663422435615,6783.085563312562,0.0,11604.189762689932,177105848.3210088,3.200000047683716,0.0,0.10804966007830186,0.12776020263768145,0.14667567355930985
F0,2013,ridge,complete,fold-2013/F0-ridge.json.gz,fold-2013/F0-ridge-pairs.csv.gz,2013-04-15T23:00:00+00:00,2013-10-07T23:00:00+00:00,2013-04-15T23:00:00+00:00,2013-10-06T23:00:00+00:00,2013-10-06T23:00:00+00:00,0.0,86400.0,15033600.0,124,0.02621300759014266,0.062438991357579014,0.05656673111749214,0.14004536461230452,1.0265595901708855,0.4221136937279549,0.07555669985257107,0.037345505217164,3.199534093498005,5.406451693465633,670.4000099897385,False,2013-04-15T23:00:00+00:00,2013-10-06T23:00:00+00:00,0.08347863349481238,61445.417802205084,2459.677585844945,25874.25249222616,0.0,11471.252724937865,691625606.2701707,3.200000047683716,0.0,0.026559590170885494,0.06442951753706908,0.1298285185461613
F0,2013,ppo_ens3,complete,fold-2013/F0-ppo_ens3.json.gz,fold-2013/F0-ppo_ens3-pairs.csv.gz,2013-04-15T23:00:00+00:00,2013-10-07T23:00:00+00:00,2013-04-15T23:00:00+00:00,2013-10-06T23:00:00+00:00,2013-10-06T23:00:00+00:00,0.0,86400.0,15033600.0,124,0.18139485141446937,0.19653213291195454,0.4634150988986354,0.5106621352247718,1.1988884686552028,1.1883712398101753,0.16753637190884818,0.01812397890983163,2.774179128489149,1.1731343897304505,145.46866432657586,False,2013-04-15T23:00:00+00:00,2013-10-06T23:00:00+00:00,0.04724703632613636,218484.01658828263,-1471.5690232466798,6583.828649221902,0.0,11540.150260609724,175917009.42647213,2.778392546387735,0.22563910756763372,0.19888846865520282,0.21717443160866404,0.31912109456209964
