scenario,fold,policy,status,error,result_path,pairs_path,coverage.measurement_start,coverage.measurement_end,coverage.first_decision,coverage.last_mark,coverage.planned_last_mark,coverage.initial_flat_seconds,coverage.trailing_coverage_gap_seconds,coverage.elapsed_seconds,metrics.steps,metrics.cumulative_log_return,metrics.gross_cumulative_log_return,metrics.annualized_net_return,metrics.annualized_gross_return,metrics.final_equity_ratio,metrics.sharpe_annualized,metrics.max_drawdown,metrics.total_cost_ratio,metrics.mean_gross_leverage,metrics.mean_weight_turnover,metrics.total_weight_turnover,metrics.terminated_by_margin_call,metrics.eval_start,metrics.eval_end,metrics.annualized_gross_minus_net,metrics.total_price_pnl_jpy,metrics.total_financing_jpy,metrics.total_spread_jpy,metrics.total_commission_jpy,metrics.total_overnight_jpy,metrics.total_actual_traded_notional_jpy,metrics.mean_target_gross_exposure,metrics.mean_target_net_exposure
F1,2020,ppo_ens3,complete,,fold-2020/F1-ppo_ens3.json.gz,fold-2020/F1-ppo_ens3-pairs.csv.gz,2020-01-01T00:00:00+00:00,2021-01-01T00:00:00+00:00,2020-01-01T00:00:00+00:00,2020-12-31T00:00:00+00:00,2020-12-31T00:00:00+00:00,0.0,86400.0,31536000.0,261.0,-0.15307823988679,-0.12462349239926765,-0.14202737705804197,-0.11724612187834849,0.8580625844655511,-1.121175499371017,0.1836420127318038,0.027216679388829972,1.8559614460912834,0.7460976179320743,194.7314782802714,False,2020-01-01T00:00:00+00:00,2020-12-31T00:00:00+00:00,0.024781255179693484,-113259.55761038986,-1461.1785352289237,14075.915321647164,0.0,13140.76406718281,186279610.83445925,1.8549156302024863,0.5790759700841549
F2,2020,canonical,complete,,fold-2020/F2-canonical.json.gz,fold-2020/F2-canonical-pairs.csv.gz,2020-01-01T00:00:00+00:00,2021-01-01T00:00:00+00:00,2020-01-01T00:00:00+00:00,2020-12-31T00:00:00+00:00,2020-12-31T00:00:00+00:00,0.0,86400.0,31536000.0,261.0,-0.05542615336092967,0.0025114118096917215,-0.053954029478818964,0.002516292517960759,0.946081886058422,-0.31164583123544576,0.22523395427400117,0.05381679553685872,3.2009902765987617,1.0973180240141478,286.40000426769257,False,2020-01-01T00:00:00+00:00,2020-12-31T00:00:00+00:00,0.056470321996779725,-1509.6276613535451,1408.3092566342955,10394.66051008392,0.0,43422.13502677481,271894198.8204874,3.200000047683716,0.0
F2,2020,ridge,complete,,fold-2020/F2-ridge.json.gz,fold-2020/F2-ridge-pairs.csv.gz,2020-01-01T00:00:00+00:00,2021-01-01T00:00:00+00:00,2020-01-01T00:00:00+00:00,2020-12-31T00:00:00+00:00,2020-12-31T00:00:00+00:00,0.0,86400.0,31536000.0,261.0,-0.10800573460461488,-0.01823673987297938,-0.10244395163260636,-0.0180837219109723,0.8976224489058369,-0.7132334492199373,0.17662416426384642,0.08595241650428413,3.201638516216208,4.462835315543573,1164.8000173568726,False,2020-01-01T00:00:00+00:00,2020-12-31T00:00:00+00:00,0.08436022972163407,-16101.727780107754,-323.4068097730038,41207.11309841746,0.0,44745.30340586668,1118366709.0420637,3.200000047683716,0.0
F2,2020,ppo_ens3,complete,,fold-2020/F2-ppo_ens3.json.gz,fold-2020/F2-ppo_ens3-pairs.csv.gz,2020-01-01T00:00:00+00:00,2021-01-01T00:00:00+00:00,2020-01-01T00:00:00+00:00,2020-12-31T00:00:00+00:00,2020-12-31T00:00:00+00:00,0.0,86400.0,31536000.0,261.0,-0.15945178852919684,-0.12462349239926539,-0.14748203956119496,-0.1172461218783465,0.8526110720393644,-1.1683129796188474,0.18835889666659134,0.033220135019197315,1.856017804959695,0.7460976179320743,194.7314782802714,False,2020-01-01T00:00:00+00:00,2020-12-31T00:00:00+00:00,0.03023591768284846,-112713.31517078908,-1455.4777706492596,7017.360437574552,0.0,26202.774581622776,185735245.13737452,1.8549156302024863,0.5790759700841549
F0,2021,canonical,complete,,fold-2021/F0-canonical.json.gz,fold-2021/F0-canonical-pairs.csv.gz,2021-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,2021-12-31T00:00:00+00:00,0.0,86400.0,31449600.0,260.0,0.08851410146805137,0.125361904102466,0.09288180449007537,0.1340467215823905,1.0925496590559631,0.8494067041059075,0.0680476446781757,0.0385973731075251,3.1981876333173687,1.3600000202655793,353.6000052690506,False,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,0.04116491709231514,131917.00721425534,-769.9750507665938,14192.958920936402,0.0,24404.41418658869,374377056.3609877,3.200000047683716,0.0
F0,2021,ridge,complete,,fold-2021/F0-ridge.json.gz,fold-2021/F0-ridge-pairs.csv.gz,2021-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,2021-12-31T00:00:00+00:00,0.0,86400.0,31449600.0,260.0,-0.03872874358186732,0.03071376322617512,-0.03811631062427601,0.03129906561610942,0.9620116255848952,-0.4442522400525086,0.17396336347055896,0.06740091485079582,3.200292147659076,4.7630769940523,1238.400018453598,False,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,0.06941537624038543,30314.69367145942,-902.1532357696076,44806.00797697282,0.0,22594.906873822998,1203061119.2912908,3.200000047683716,0.0
F0,2021,ppo_ens3,complete,,fold-2021/F0-ppo_ens3.json.gz,fold-2021/F0-ppo_ens3-pairs.csv.gz,2021-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,2021-12-31T00:00:00+00:00,0.0,86400.0,31449600.0,260.0,-0.08925425762059991,-0.06730785572859267,-0.0856672938200482,-0.06530872870141036,0.914612996684175,-0.8170705738977126,0.16110412748018954,0.02107969817589216,1.8455237187392488,0.8703400102724957,226.28840267084888,False,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,0.020358565118637845,-62790.57301601428,-1516.7321239190042,8338.276176857486,0.0,12741.421999034672,217862103.61251134,1.8449874610891408,0.3507324962819089
F1,2021,canonical,complete,,fold-2021/F1-canonical.json.gz,fold-2021/F1-canonical-pairs.csv.gz,2021-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,2021-12-31T00:00:00+00:00,0.0,86400.0,31449600.0,260.0,0.07495841834420738,0.1253619041024674,0.07811681626183183,0.13404672158239206,1.0778393316087211,0.7191205751896317,0.06842609858507975,0.05241955057473353,3.198354480512164,1.3600000202655793,353.6000052690506,False,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,0.05592990532056023,131035.80904597827,-776.9268625240171,28193.672807688818,0.0,24225.87776704471,371839089.8743934,3.200000047683716,0.0
F1,2021,ridge,complete,,fold-2021/F1-ridge.json.gz,fold-2021/F1-ridge-pairs.csv.gz,2021-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,2021-12-31T00:00:00+00:00,0.0,86400.0,31449600.0,260.0,-0.08489405473726727,0.030713763226176024,-0.08165816327885259,0.03129906561611036,0.9186096015818079,-0.9735282984921024,0.19237492854464244,0.10973715676141126,3.20086041842516,4.7630769940523,1238.400018453598,False,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,0.11295722889496294,29233.164188946113,-886.4058457276856,87645.45226504629,0.0,22091.704496364957,1176617091.6467361,3.200000047683716,0.0
F1,2021,ppo_ens3,complete,,fold-2021/F1-ppo_ens3.json.gz,fold-2021/F1-ppo_ens3-pairs.csv.gz,2021-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,2021-12-31T00:00:00+00:00,0.0,86400.0,31449600.0,260.0,-0.09790488835336375,-0.06730785572859156,-0.09356966312446788,-0.06530872870140932,0.9067351407250838,-0.8963970788489755,0.16150036032512893,0.02928823516855843,1.8455834909511335,0.8703400102724957,226.28840267084888,False,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,0.028260934423058562,-62466.161825257426,-1510.4622811022255,16605.607658468474,0.0,12682.627510089957,216934063.29718465,1.8449874610891408,0.3507324962819089
F2,2021,canonical,complete,,fold-2021/F2-canonical.json.gz,fold-2021/F2-canonical-pairs.csv.gz,2021-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,2021-12-31T00:00:00+00:00,0.0,86400.0,31449600.0,260.0,0.06521510162945343,0.1253619041024679,0.06762766832295058,0.13404672158239264,1.0673885967190302,0.6252535161147181,0.06919080512962528,0.06227739942053785,3.1984744093059634,1.3600000202655793,353.6000052690506,False,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,0.06641905325944206,130448.08065120107,-782.0845116304214,14039.221954374383,0.0,48238.17746616346,370330594.4836298,3.200000047683716,0.0
F2,2021,ridge,complete,,fold-2021/F2-ridge.json.gz,fold-2021/F2-ridge-pairs.csv.gz,2021-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,2021-12-31T00:00:00+00:00,0.0,86400.0,31449600.0,260.0,-0.06203238690471336,0.030713763226171392,-0.06034774176638284,0.03129906561610556,0.9398524473865161,-0.7114268009989276,0.18291941846380078,0.08899499626209914,3.20057905203696,4.7630769940523,1238.400018453598,False,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,0.0916468073824884,29741.728253090492,-894.2846044746992,44311.01464765871,0.0,44683.98161444039,1189749905.9808843,3.200000047683716,0.0
F2,2021,ppo_ens3,complete,,fold-2021/F2-ppo_ens3.json.gz,fold-2021/F2-ppo_ens3-pairs.csv.gz,2021-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,2021-12-31T00:00:00+00:00,0.0,86400.0,31449600.0,260.0,-0.1025522743578069,-0.06730785572859235,-0.09778682022491929,-0.06530872870141005,0.9025309692929511,-0.9385570332212353,0.16229587610807095,0.0336052958542103,1.8456252926489425,0.8703400102724957,226.28840267084888,False,2021-01-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,0.03247809152350924,-62356.2542987458,-1507.4805540936925,8288.429916945719,0.0,25316.86593726457,216558369.3696178,1.8449874610891408,0.3507324962819089
F0,2022,canonical,complete,,fold-2022/F0-canonical.json.gz,fold-2022/F0-canonical-pairs.csv.gz,2022-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,2022-01-03T00:00:00+00:00,2022-12-30T00:00:00+00:00,2022-12-30T00:00:00+00:00,172800.0,172800.0,31190400.0,259.0,0.05297782364916123,0.08728149354989484,0.05506410043565377,0.09232564847936418,1.054406261976889,0.3320163938613681,0.11630987421392003,0.035032774041030335,3.1988852402115318,1.149034766156701,297.60000443458557,False,2022-01-03T00:00:00+00:00,2022-12-30T00:00:00+00:00,0.037261548043710416,86743.2574102543,2695.7786076660245,11433.764197265938,0.0,23599.009843764423,311150087.2697907,3.200000047683716,0.0
F0,2022,ridge,complete,,fold-2022/F0-ridge.json.gz,fold-2022/F0-ridge-pairs.csv.gz,2022-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,2022-01-03T00:00:00+00:00,2022-12-30T00:00:00+00:00,2022-12-30T00:00:00+00:00,172800.0,172800.0,31190400.0,259.0,-0.09405362117564621,-0.02465450116309062,-0.09077337245664395,-0.024636205473223465,0.9102339531174981,-0.7606975564299732,0.16418630755590857,0.06544009884580483,3.2002618983108944,4.756756827637956,1232.0000183582306,False,2022-01-03T00:00:00+00:00,2022-12-30T00:00:00+00:00,0.06613716698342048,-24790.305785731714,464.3577490351032,43664.22213230959,0.0,21775.87671349523,1162773784.5487435,3.200000047683716,0.0
F0,2022,ppo_ens3,complete,,fold-2022/F0-ppo_ens3.json.gz,fold-2022/F0-ppo_ens3-pairs.csv.gz,2022-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,2022-01-03T00:00:00+00:00,2022-12-30T00:00:00+00:00,2022-12-30T00:00:00+00:00,172800.0,172800.0,31190400.0,259.0,0.06697084880745442,0.09087993616374826,0.07010768840436833,0.09630984329582684,1.0692643073905628,0.29326537269466074,0.22048347180202665,0.025041002450990942,2.1629327638987395,0.8565564916377792,221.8481313341848,False,2022-01-03T00:00:00+00:00,2022-12-30T00:00:00+00:00,0.02620215489145851,92949.64480987709,1355.6650316776097,8696.224426289966,0.0,16344.77802470098,231076599.34066653,2.1622725037807773,-0.030689312757353093
F1,2022,canonical,complete,,fold-2022/F1-canonical.json.gz,fold-2022/F1-canonical-pairs.csv.gz,2022-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,2022-01-03T00:00:00+00:00,2022-12-30T00:00:00+00:00,2022-12-30T00:00:00+00:00,172800.0,172800.0,31190400.0,259.0,0.04178551832088364,0.08728149354989799,0.04318387319477547,0.09232564847936768,1.0426708209779227,0.2618140492443851,0.11837670523517685,0.046197690973499156,3.199023630370118,1.149034766156701,297.60000443458557,False,2022-01-03T00:00:00+00:00,2022-12-30T00:00:00+00:00,0.04914177528459221,86196.73377298999,2671.778178430039,22740.648831790815,0.0,23457.042141708353,309411849.6900087,3.200000047683716,0.0
F1,2022,ridge,complete,,fold-2022/F1-ridge.json.gz,fold-2022/F1-ridge-pairs.csv.gz,2022-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,2022-01-03T00:00:00+00:00,2022-12-30T00:00:00+00:00,2022-12-30T00:00:00+00:00,172800.0,172800.0,31190400.0,259.0,-0.1403566700744734,-0.024654501163091078,-0.13238661154071277,-0.02463620547322392,0.8690482166227393,-1.1340226352822744,0.19024566712439206,0.10667259540171722,3.2008343153634202,4.756756827637956,1232.0000183582306,False,2022-01-03T00:00:00+00:00,2022-12-30T00:00:00+00:00,0.10775040606748884,-24739.21990586652,460.0319303219818,85392.87792330144,0.0,21279.717478415736,1136466982.2259288,3.200000047683716,0.0
F1,2022,ppo_ens3,complete,,fold-2022/F1-ppo_ens3.json.gz,fold-2022/F1-ppo_ens3-pairs.csv.gz,2022-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,2022-01-03T00:00:00+00:00,2022-12-30T00:00:00+00:00,2022-12-30T00:00:00+00:00,172800.0,172800.0,31190400.0,259.0,0.05863442931428671,0.09087993616374766,0.061119755685150316,0.09630984329582618,1.0603875232814004,0.2567384976580402,0.22085059047352817,0.033590496573154126,2.16300203723295,0.8565564916377792,221.8481313341848,False,2022-01-03T00:00:00+00:00,2022-12-30T00:00:00+00:00,0.03519008761067586,92634.88097742625,1343.138877128933,17319.791814085005,0.0,16270.704759069133,230112376.73139262,2.1622725037807773,-0.030689312757353093
F2,2022,canonical,complete,,fold-2022/F2-canonical.json.gz,fold-2022/F2-canonical-pairs.csv.gz,2022-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,2022-01-03T00:00:00+00:00,2022-12-30T00:00:00+00:00,2022-12-30T00:00:00+00:00,172800.0,172800.0,31190400.0,259.0,0.0298604435707695,0.08728149354989366,0.03067299923808534,0.09232564847936288,1.0303107374323737,0.18700885125186817,0.12111716806317774,0.05796608735863259,3.1991710382020324,1.149034766156701,297.60000443458557,False,2022-01-03T00:00:00+00:00,2022-12-30T00:00:00+00:00,0.06165264924127754,85628.1764345028,2648.648356504107,11312.18407037491,0.0,46653.903288257694,307815725.49845576,3.200000047683716,0.0
F2,2022,ridge,complete,,fold-2022/F2-ridge.json.gz,fold-2022/F2-ridge-pairs.csv.gz,2022-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,2022-01-03T00:00:00+00:00,2022-12-30T00:00:00+00:00,2022-12-30T00:00:00+00:00,172800.0,172800.0,31190400.0,259.0,-0.11717705772575865,-0.02465450116309415,-0.11179842779485494,-0.024636205473226952,0.8894276991754158,-0.9471847871602221,0.17710116419546107,0.08625218726792708,3.20054777379107,4.756756827637956,1232.0000183582306,False,2022-01-03T00:00:00+00:00,2022-12-30T00:00:00+00:00,0.08716222232162799,-24782.293265977947,462.17970932082517,43188.09294972434,0.0,43064.094318202726,1149826724.9119885,3.200000047683716,0.0
F2,2022,ppo_ens3,complete,,fold-2022/F2-ppo_ens3.json.gz,fold-2022/F2-ppo_ens3-pairs.csv.gz,2022-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,2022-01-03T00:00:00+00:00,2022-12-30T00:00:00+00:00,2022-12-30T00:00:00+00:00,172800.0,172800.0,31190400.0,259.0,0.051395454553221746,0.09087993616374782,0.05337629626690615,0.09630984329582634,1.0527391214570514,0.224964428840896,0.22167183752918418,0.041068372247033504,2.1630760792336226,0.8565564916377792,221.8481313341848,False,2022-01-03T00:00:00+00:00,2022-12-30T00:00:00+00:00,0.042933547028920195,92476.27691521854,1331.216788866539,8633.960578549397,0.0,32434.411668484074,229424277.56630862,2.1622725037807773,-0.030689312757353093
F0,2023,canonical,complete,,fold-2023/F0-canonical.json.gz,fold-2023/F0-canonical-pairs.csv.gz,2023-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,2023-01-02T00:00:00+00:00,2023-12-29T00:00:00+00:00,2023-12-29T00:00:00+00:00,86400.0,259200.0,31190400.0,259.0,-0.001657129853712469,0.03282399829308384,-0.0016752342262304986,0.033768052585758546,0.998344242427842,-0.015358275088336995,0.10116690684989327,0.0353996949658189,3.1992988064698515,1.2046332225836383,312.0000046491623,False,2023-01-02T00:00:00+00:00,2023-12-29T00:00:00+00:00,0.03544328681198904,25625.507207351664,8118.430186308247,11706.086503329376,0.0,23693.608462489512,325356993.6905787,3.200000047683716,0.0
F0,2023,ridge,complete,,fold-2023/F0-ridge.json.gz,fold-2023/F0-ridge-pairs.csv.gz,2023-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,2023-01-02T00:00:00+00:00,2023-12-29T00:00:00+00:00,2023-12-29T00:00:00+00:00,86400.0,259200.0,31190400.0,259.0,0.06678513795183907,0.13434546743399267,0.06990663705269197,0.14559837287568897,1.069065751838689,0.5908127149848666,0.06872379333449719,0.07080274528560473,3.1985921477585837,4.614671883435784,1195.2000178098679,False,2023-01-02T00:00:00+00:00,2023-12-29T00:00:00+00:00,0.075691735822997,143271.13016795772,-3402.633043662486,46613.45380916571,0.0,24189.29147643902,1253655102.6790993,3.200000047683716,0.0
