decision_index,decision_timestamp,target_timestamp,pair,state,score,score_changed,rank,target_weight,previous_weight,marked_exposure_jpy,signed_trade_jpy,signed_target_change_jpy,signed_drift_jpy,traded_notional_jpy,spread_jpy,commission_jpy,trading_cost_jpy,overnight_jpy,cost_jpy,cost_ratio,price_simple_contribution,carry_simple_contribution,gross_simple_contribution,net_simple_contribution,fold,era,policy
2,2009-04-07T00:00:00+01:00,2009-04-08T00:00:00+01:00,JPY/SEK,entry,-0.0140095709011826,True,2,-0.800000011920929,0.0,0.0,-799737.2597910194,-799737.2597910194,0.0,799737.2597910194,47.984235587461164,0.0,47.984235587461164,15.99474519582039,63.97898078328156,6.400000095367432e-05,-0.016663863930343796,3.1324093868267997e-06,-0.01666073152095697,-0.016724731521910643,2009,2009-2018,supervised
3,2009-04-08T00:00:00+01:00,2009-04-09T00:00:00+01:00,JPY/USD,exit,-0.003437700644361489,True,3,0.0,0.800000011920929,807354.605630006,-807354.605630006,-794179.9720097366,-13174.633620269364,807354.605630006,12.11031908445009,0.0,12.11031908445009,0.0,12.11031908445009,1.219906791077772e-05,-0.0,0.0,0.0,-1.219906791077772e-05,2009,2009-2018,supervised
3,2009-04-08T00:00:00+01:00,2009-04-09T00:00:00+01:00,JPY/EUR,entry,0.004035117082169983,True,9,0.800000011920929,0.0,0.0,794179.9720097366,794179.9720097366,0.0,794179.9720097366,19.854499300243415,0.0,19.854499300243415,15.883599440194732,35.73809874043815,3.60000005364418e-05,0.00011502469853254576,-6.3570783731409275e-06,0.00010866762015940484,7.266761962296303e-05,2009,2009-2018,supervised
3,2009-04-08T00:00:00+01:00,2009-04-09T00:00:00+01:00,JPY/GBP,entry,-0.005746320630553651,True,2,-0.800000011920929,0.0,0.0,-794179.9720097366,-794179.9720097366,0.0,794179.9720097366,23.825399160292097,0.0,23.825399160292097,15.883599440194732,39.70899860048683,4.000000059604645e-05,0.0045068992498864275,3.0084459804626132e-05,0.004536983709691054,0.004496983709095007,2009,2009-2018,supervised
3,2009-04-08T00:00:00+01:00,2009-04-09T00:00:00+01:00,JPY/AUD,inactive,-0.0005240909861107564,True,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,2009,2009-2018,supervised
3,2009-04-08T00:00:00+01:00,2009-04-09T00:00:00+01:00,JPY/CHF,inactive,0.0009486935890330941,True,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,2009-2018,supervised
3,2009-04-08T00:00:00+01:00,2009-04-09T00:00:00+01:00,JPY/CAD,exit,-0.0028347696478258004,True,4,0.0,0.800000011920929,808253.7788209091,-808253.7788209091,-794179.9720097366,-14073.806811172515,808253.7788209091,28.288882258731817,0.0,28.288882258731817,0.0,28.288882258731817,2.8496193484891554e-05,-0.0,-0.0,-0.0,-2.8496193484891554e-05,2009,2009-2018,supervised
3,2009-04-08T00:00:00+01:00,2009-04-09T00:00:00+01:00,JPY/NZD,reversal,0.0022819895163965647,True,8,0.800000011920929,-0.800000011920929,-805986.3026127513,1600166.2746224878,1588359.9440194732,11806.330603014678,1600166.2746224878,64.00665098489952,0.0,64.00665098489952,15.883599440194732,79.89025042509425,8.047571525973693e-05,-0.012848093768265071,-5.801201807755249e-05,-0.012906105786342624,-0.01298658150160236,2009,2009-2018,supervised
3,2009-04-08T00:00:00+01:00,2009-04-09T00:00:00+01:00,JPY/NOK,entry,-0.00837725986547503,True,1,-0.800000011920929,0.0,0.0,-794179.9720097366,-794179.9720097366,0.0,794179.9720097366,47.650798320584194,0.0,47.650798320584194,15.883599440194732,63.53439776077893,6.400000095367432e-05,0.008233768108176068,6.008746562633769e-05,0.008293855573802406,0.008229855572848731,2009,2009-2018,supervised
3,2009-04-08T00:00:00+01:00,2009-04-09T00:00:00+01:00,JPY/SEK,exit,0.0018877940641667677,True,7,0.0,-0.800000011920929,-816395.6506392694,816395.6506392694,794179.9720097366,22215.678629532806,816395.6506392694,48.98373903835616,0.0,48.98373903835616,0.0,48.98373903835616,4.9342709707789224e-05,-0.0,-0.0,-0.0,-4.9342709707789224e-05,2009,2009-2018,supervised
4,2009-04-09T00:00:00+01:00,2009-04-10T00:00:00+01:00,JPY/USD,inactive,-0.0016174882585610491,True,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,2009-2018,supervised
4,2009-04-09T00:00:00+01:00,2009-04-10T00:00:00+01:00,JPY/EUR,exit,-0.0006214954983250314,True,7,0.0,0.800000011920929,794294.1598978613,-794294.1598978613,-793959.8947557457,-334.2651421156479,794294.1598978613,19.857353997446534,0.0,19.857353997446534,0.0,19.857353997446534,2.000842050033582e-05,0.0,-0.0,0.0,-2.000842050033582e-05,2009,2009-2018,supervised
4,2009-04-09T00:00:00+01:00,2009-04-10T00:00:00+01:00,JPY/GBP,reversal,0.00018417972654484786,True,9,0.800000011920929,-0.800000011920929,-789705.8606762491,1583665.7554319948,1587919.7895114913,-4254.034079496516,1583665.7554319948,47.509972662959846,0.0,47.509972662959846,15.879197895114915,63.38917055807476,6.387140904354933e-05,0.0032713480811138785,-3.037862246355123e-05,0.003240969458650327,0.0031770980496067776,2009,2009-2018,supervised
4,2009-04-09T00:00:00+01:00,2009-04-10T00:00:00+01:00,JPY/AUD,inactive,-0.0030548068253414477,True,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,2009,2009-2018,supervised
4,2009-04-09T00:00:00+01:00,2009-04-10T00:00:00+01:00,JPY/CHF,entry,-0.0003019581107235927,True,8,0.800000011920929,0.0,0.0,793959.8947557457,793959.8947557457,0.0,793959.8947557457,27.788596316451095,0.0,27.788596316451095,15.879197895114915,43.66779421156601,4.400000065565109e-05,0.0006457536428223316,1.3161235667980129e-05,0.0006589148784903118,0.0006149148778346607,2009,2009-2018,supervised
4,2009-04-09T00:00:00+01:00,2009-04-10T00:00:00+01:00,JPY/CAD,inactive,-0.0014455780399944668,True,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,2009,2009-2018,supervised
4,2009-04-09T00:00:00+01:00,2009-04-10T00:00:00+01:00,JPY/NZD,reversal,-0.0030750526569750243,True,2,-0.800000011920929,0.800000011920929,781425.3487632212,-1575385.2435189667,-1587919.7895114913,12534.54599252448,1575385.2435189667,63.01540974075867,0.0,63.01540974075867,15.879197895114915,78.89460763587358,7.949480504756834e-05,-0.003776468426569957,5.923722553793896e-05,-0.0037172312010320184,-0.0037967260060795868,2009,2009-2018,supervised
4,2009-04-09T00:00:00+01:00,2009-04-10T00:00:00+01:00,JPY/NOK,exit,-0.0013435001734247716,True,6,0.0,-0.800000011920929,-786006.1049744292,786006.1049744292,793959.8947557457,-7953.789781316416,786006.1049744292,47.16036629846575,0.0,47.16036629846575,0.0,47.16036629846575,4.7519142780599434e-05,0.0,-0.0,0.0,-4.7519142780599434e-05,2009,2009-2018,supervised
4,2009-04-09T00:00:00+01:00,2009-04-10T00:00:00+01:00,JPY/SEK,entry,-0.0039006211855686867,True,1,-0.800000011920929,0.0,0.0,-793959.8947557457,-793959.8947557457,0.0,793959.8947557457,47.63759368534474,0.0,47.63759368534474,15.879197895114915,63.51679158045965,6.400000095367431e-05,0.0032263235322165028,3.0561182568334177e-06,0.0032293796504733363,0.003165379649519662,2009,2009-2018,supervised
5,2009-04-10T00:00:00+01:00,2009-04-13T00:00:00+01:00,JPY/USD,inactive,5.011914619720544e-05,True,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,2009-2018,supervised
5,2009-04-10T00:00:00+01:00,2009-04-13T00:00:00+01:00,JPY/EUR,inactive,-0.0016844687655629873,True,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,2009,2009-2018,supervised
5,2009-04-10T00:00:00+01:00,2009-04-13T00:00:00+01:00,JPY/GBP,exit,-0.0005578121888810218,True,4,0.0,0.800000011920929,797206.543680105,-797206.543680105,-796415.7230766851,-790.8206034199102,797206.543680105,23.91619631040315,0.0,23.91619631040315,0.0,23.91619631040315,2.4023831748966522e-05,-0.0,-0.0,-0.0,-2.4023831748966522e-05,2009,2009-2018,supervised
5,2009-04-10T00:00:00+01:00,2009-04-13T00:00:00+01:00,JPY/AUD,inactive,0.00042881041291829034,True,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,2009,2009-2018,supervised
5,2009-04-10T00:00:00+01:00,2009-04-13T00:00:00+01:00,JPY/CHF,reversal,-0.004410131665894153,True,1,-0.800000011920929,0.800000011920929,794600.7728640626,-1591016.4959407477,-1592831.4461533702,1814.950212622527,1591016.4959407477,55.685577357926164,0.0,55.685577357926164,47.784943384601114,103.47052074252727,0.00010393619240427299,0.014271199204450002,-3.8748080062606876e-05,0.014232451124387395,0.014128514931983121,2009,2009-2018,supervised
5,2009-04-10T00:00:00+01:00,2009-04-13T00:00:00+01:00,JPY/CAD,inactive,0.0006198540148884842,True,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,2009,2009-2018,supervised
5,2009-04-10T00:00:00+01:00,2009-04-13T00:00:00+01:00,JPY/NZD,reversal,0.0008477492411722113,True,8,0.800000011920929,-0.800000011920929,-797707.8502930317,1594123.5733697168,1592831.4461533702,1292.127216346562,1594123.5733697168,63.76494293478868,0.0,63.76494293478868,47.784943384601114,111.5498863193898,0.00011205191936761574,-0.011838322303164516,-0.00017425931055384543,-0.012012581613718362,-0.012124633533085977,2009,2009-2018,supervised
5,2009-04-10T00:00:00+01:00,2009-04-13T00:00:00+01:00,JPY/NOK,entry,-0.0027823448097404,True,2,-0.800000011920929,0.0,0.0,-796415.7230766851,-796415.7230766851,0.0,796415.7230766851,47.78494338460111,0.0,47.78494338460111,47.784943384601114,95.56988676920221,9.600000143051147e-05,0.010337163989475267,0.00017978351414548992,0.010516947503620757,0.010420947502190246,2009,2009-2018,supervised
5,2009-04-10T00:00:00+01:00,2009-04-13T00:00:00+01:00,JPY/SEK,reversal,0.0028376729142128095,True,9,0.800000011920929,-0.800000011920929,-790757.9304383504,1587173.6535150355,1592831.4461533702,-5657.7926383346785,1587173.6535150355,95.23041921090213,0.0,95.23041921090213,47.784943384601114,143.01536259550323,0.00014365900680524617,-0.006141836942650624,-9.134806397010328e-06,-0.006150971749047634,-0.00629463075585288,2009,2009-2018,supervised
6,2009-04-13T00:00:00+01:00,2009-04-14T00:00:00+01:00,JPY/USD,entry,-0.0012958205197978064,True,1,-0.800000011920929,0.0,0.0,-801278.776307792,-801278.776307792,0.0,801278.776307792,12.01918164461688,0.0,12.01918164461688,16.025575526155844,28.044757170772726,2.800000041723252e-05,-0.00848738345000465,-1.0853666403609794e-05,-0.008498237116408259,-0.008526237116825491,2009,2009-2018,supervised
