decision_index,decision_timestamp,target_timestamp,state,score_correlation,score_correlation_status,rank_correlation,rank_correlation_status,score_changed_pairs,original_rank_churn,rank_churn,membership_exit_rate,entries,exits,reversals,bottom_boundary_gap,top_boundary_gap,weight_turnover,traded_notional_jpy,traded_notional_over_equity,spread_jpy,commission_jpy,trading_cost_jpy,overnight_jpy,cost_jpy,cost_ratio,cost_residual_ratio,price_simple_return,carry_simple_return,gross_simple_return,net_simple_return,fold,era,policy
77,2017-07-18T00:00:00+01:00,2017-07-19T00:00:00+01:00,membership_retained,0.9437303751484534,defined,0.9666666666666667,defined,9.0,0.05555555555555555,0.05555555555555555,0.0,0,0,0,0.0038205461488234997,0.009273922022588414,0.0,11218.406925459858,0.011837398058066988,0.43002112750441823,0.0,0.43002112750441823,60.65336743819707,61.08338856570149,6.445374909219978e-05,0.0,0.0032020402226940084,2.887946445073666e-06,0.003204928169139082,0.003140474420046946,2017,2009-2018,reversal
78,2017-07-19T00:00:00+01:00,2017-07-20T00:00:00+01:00,membership_changed,0.8958430704944486,defined,0.8666666666666667,defined,9.0,0.1111111111111111,0.1111111111111111,0.25,1,1,0,0.006052693865307379,0.0013091631041182578,1.600000023841858,1531962.2357982749,1.6114297191576938,68.85508486161292,0.0,68.85508486161292,60.843847787126435,129.69893264873934,0.00013642680591555484,0.0,-0.006042898833436998,-4.869333165912669e-05,-0.006091592165096125,-0.006228018971011773,2017,2009-2018,reversal
79,2017-07-20T00:00:00+01:00,2017-07-21T00:00:00+01:00,membership_changed,0.990101667760931,defined,0.9666666666666667,defined,9.0,0.05555555555555555,0.05555555555555555,0.25,1,1,0,0.0009818643498139198,0.0005890611337832918,1.600000023841858,1527493.7172617225,1.6167988591075455,57.12310233966122,0.0,57.12310233966122,60.464911148838866,117.5880134885001,0.0001244628137611874,2.710505431213761e-20,0.005225180149329111,1.392535193940998e-05,0.0052391055012685215,0.005114642687507276,2017,2009-2018,reversal
80,2017-07-21T00:00:00+01:00,2017-07-24T00:00:00+01:00,membership_changed,0.9350914811047026,defined,0.7999999999999999,defined,9.0,0.16666666666666666,0.16666666666666666,0.75,3,3,0,0.008633089186440415,0.004159670747934954,4.800000071525574,4547236.200515016,4.788599051738436,193.2345244380117,0.0,193.2345244380117,182.32250269349117,375.55702713150293,0.0003954912269109612,1.0842021724855044e-19,0.001735171978218513,6.249664189813163e-05,0.0017976686201166443,0.0014021773932058057,2017,2009-2018,reversal
81,2017-07-24T00:00:00+01:00,2017-07-25T00:00:00+01:00,membership_changed,0.9824314988880877,defined,0.9500000000000001,defined,9.0,0.08333333333333333,0.08333333333333333,0.25,1,1,0,0.008007798343151795,0.0023781628368396215,1.600000023841858,1540001.2640032407,1.6194722379181778,73.04791447602463,0.0,73.04791447602463,60.859383728346884,133.9072982043715,0.00014081751552130802,0.0,-0.0017783140913267019,2.903541623116276e-05,-0.0017492786750955397,-0.0018900961906168634,2017,2009-2018,reversal
82,2017-07-25T00:00:00+01:00,2017-07-26T00:00:00+01:00,membership_changed,0.9912299559839547,defined,0.9833333333333333,defined,9.0,0.027777777777777776,0.027777777777777776,0.25,1,1,0,0.005996725251448908,0.0037973502985893387,1.600000023841858,1520685.8493975117,1.602188351366317,72.23363191851774,0.0,72.23363191851774,60.744353638998646,132.97798555751638,0.00014010505820963794,0.0,-0.004895456561196304,2.0557068849150942e-05,-0.004874899492347154,-0.005015004550556923,2017,2009-2018,reversal
83,2017-07-26T00:00:00+01:00,2017-07-27T00:00:00+01:00,membership_changed,0.9800066549593583,defined,0.9,defined,9.0,0.1111111111111111,0.1111111111111111,0.25,1,1,0,0.001997125174095806,0.008003087991088967,1.600000023841858,1518477.2696380932,1.607925152781064,49.52986661663541,0.0,49.52986661663541,60.43972042907844,109.96958704571385,0.0001164474889333662,-1.3552527156068805e-20,-0.010455031948834152,-5.755267144733564e-06,-0.010460787215978883,-0.010577234704912342,2017,2009-2018,reversal
84,2017-07-27T00:00:00+01:00,2017-07-28T00:00:00+01:00,membership_retained,0.9805209441222131,defined,0.9833333333333333,defined,9.0,0.027777777777777776,0.027777777777777776,0.0,0,0,0,0.01216112345393943,0.00017878402889512368,0.0,43807.83484628983,0.046884298699663526,1.678660448321872,0.0,1.678660448321872,59.80043532060079,61.47909576892266,6.579654757942246e-05,-1.3552527156068805e-20,-0.0015339172287440837,-6.1994549017525256e-06,-0.001540116683645836,-0.0016059132312251645,2017,2009-2018,reversal
85,2017-07-28T00:00:00+01:00,2017-07-31T00:00:00+01:00,membership_retained,0.9769991677045909,defined,0.9833333333333333,defined,9.0,0.027777777777777776,0.027777777777777776,0.0,0,0,0,0.022591830467437107,0.008451149223223604,0.0,23552.039130177232,0.02524655638924543,1.07262610510469,0.0,1.07262610510469,179.11320303085924,180.18582913596393,0.0001931498020481517,0.0,-0.017700925685431065,-1.8399068347303475e-05,-0.01771932475377837,-0.017912474555826563,2017,2009-2018,reversal
86,2017-07-31T00:00:00+01:00,2017-08-01T00:00:00+01:00,membership_retained,0.9864154164027406,defined,0.9666666666666667,defined,9.0,0.05555555555555555,0.05555555555555555,0.0,0,0,0,0.031032390754764765,0.0023389036736625735,0.0,61397.79910902551,0.06701565146158983,2.3633380574201976,0.0,2.3633380574201976,58.63494744631878,60.99828550373898,6.657958266247046e-05,0.0,-0.005016417136718776,1.487284586674306e-06,-0.005014929852132101,-0.005081509434794573,2017,2009-2018,reversal
