pair,side,start_timestamp,last_decision_timestamp,end_timestamp,duration_decisions,right_censored,fold,era,policy
JPY/EUR,short,2009-05-29T00:00:00+01:00,2009-05-29T00:00:00+01:00,2009-06-01T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/EUR,long,2009-06-01T00:00:00+01:00,2009-06-01T00:00:00+01:00,2009-06-02T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/EUR,short,2009-06-05T00:00:00+01:00,2009-06-08T00:00:00+01:00,2009-06-09T00:00:00+01:00,2,False,2009,2009-2018,supervised
JPY/EUR,long,2009-06-10T00:00:00+01:00,2009-06-10T00:00:00+01:00,2009-06-11T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/EUR,short,2009-06-11T00:00:00+01:00,2009-06-11T00:00:00+01:00,2009-06-12T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/EUR,long,2009-06-12T00:00:00+01:00,2009-06-16T00:00:00+01:00,2009-06-17T00:00:00+01:00,3,False,2009,2009-2018,supervised
JPY/EUR,short,2009-06-17T00:00:00+01:00,2009-06-17T00:00:00+01:00,2009-06-18T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/EUR,long,2009-06-23T00:00:00+01:00,2009-06-24T00:00:00+01:00,2009-06-25T00:00:00+01:00,2,False,2009,2009-2018,supervised
JPY/EUR,short,2009-06-25T00:00:00+01:00,2009-06-25T00:00:00+01:00,2009-06-26T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/EUR,long,2009-06-26T00:00:00+01:00,2009-06-29T00:00:00+01:00,2009-06-30T00:00:00+01:00,2,False,2009,2009-2018,supervised
JPY/EUR,long,2009-07-08T00:00:00+01:00,2009-07-09T00:00:00+01:00,2009-07-10T00:00:00+01:00,2,False,2009,2009-2018,supervised
JPY/EUR,long,2009-07-13T00:00:00+01:00,2009-07-14T00:00:00+01:00,2009-07-15T00:00:00+01:00,2,False,2009,2009-2018,supervised
JPY/EUR,short,2009-07-23T00:00:00+01:00,2009-07-23T00:00:00+01:00,2009-07-24T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/EUR,long,2009-07-24T00:00:00+01:00,2009-07-24T00:00:00+01:00,2009-07-27T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/EUR,short,2009-07-27T00:00:00+01:00,2009-07-27T00:00:00+01:00,2009-07-28T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/EUR,long,2009-07-28T00:00:00+01:00,2009-07-28T00:00:00+01:00,2009-07-29T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/EUR,long,2009-08-07T00:00:00+01:00,2009-08-07T00:00:00+01:00,2009-08-10T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/EUR,short,2009-08-10T00:00:00+01:00,2009-08-10T00:00:00+01:00,2009-08-11T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/EUR,long,2009-08-12T00:00:00+01:00,2009-08-12T00:00:00+01:00,2009-08-13T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/EUR,short,2009-08-17T00:00:00+01:00,2009-08-17T00:00:00+01:00,2009-08-18T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/EUR,long,2009-08-24T00:00:00+01:00,2009-08-24T00:00:00+01:00,2009-08-25T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/EUR,long,2009-08-31T00:00:00+01:00,2009-08-31T00:00:00+01:00,2009-09-01T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/EUR,short,2009-09-08T00:00:00+01:00,2009-09-08T00:00:00+01:00,2009-09-09T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/EUR,long,2009-09-14T00:00:00+01:00,2009-09-14T00:00:00+01:00,2009-09-15T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/EUR,short,2009-09-17T00:00:00+01:00,2009-09-17T00:00:00+01:00,2009-09-18T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/EUR,short,2009-10-06T00:00:00+01:00,2009-10-06T00:00:00+01:00,2009-10-07T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/EUR,long,2009-10-09T00:00:00+01:00,2009-10-09T00:00:00+01:00,2009-10-12T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/EUR,long,2009-10-14T00:00:00+01:00,2009-10-14T00:00:00+01:00,2009-10-15T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/EUR,short,2009-10-19T00:00:00+01:00,2009-10-19T00:00:00+01:00,2009-10-20T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/EUR,long,2009-10-20T00:00:00+01:00,2009-10-20T00:00:00+01:00,2009-10-21T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/EUR,long,2009-11-02T00:00:00+00:00,2009-11-03T00:00:00+00:00,2009-11-04T00:00:00+00:00,2,False,2009,2009-2018,supervised
JPY/EUR,long,2009-11-05T00:00:00+00:00,2009-11-05T00:00:00+00:00,2009-11-06T00:00:00+00:00,1,False,2009,2009-2018,supervised
JPY/EUR,short,2009-11-10T00:00:00+00:00,2009-11-10T00:00:00+00:00,2009-11-11T00:00:00+00:00,1,False,2009,2009-2018,supervised
JPY/EUR,long,2009-11-23T00:00:00+00:00,2009-11-23T00:00:00+00:00,2009-11-24T00:00:00+00:00,1,False,2009,2009-2018,supervised
JPY/EUR,long,2009-11-25T00:00:00+00:00,2009-11-25T00:00:00+00:00,2009-11-26T00:00:00+00:00,1,False,2009,2009-2018,supervised
JPY/EUR,long,2009-11-30T00:00:00+00:00,2009-11-30T00:00:00+00:00,2009-12-01T00:00:00+00:00,1,False,2009,2009-2018,supervised
JPY/EUR,short,2009-12-07T00:00:00+00:00,2009-12-08T00:00:00+00:00,2009-12-09T00:00:00+00:00,2,False,2009,2009-2018,supervised
JPY/EUR,long,2009-12-11T00:00:00+00:00,2009-12-11T00:00:00+00:00,2009-12-14T00:00:00+00:00,1,False,2009,2009-2018,supervised
JPY/EUR,long,2009-12-21T00:00:00+00:00,2009-12-21T00:00:00+00:00,2009-12-22T00:00:00+00:00,1,False,2009,2009-2018,supervised
JPY/EUR,short,2009-12-30T00:00:00+00:00,2009-12-30T00:00:00+00:00,2009-12-31T00:00:00+00:00,1,False,2009,2009-2018,supervised
JPY/GBP,long,2009-04-06T00:00:00+01:00,2009-04-06T00:00:00+01:00,2009-04-07T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/GBP,short,2009-04-08T00:00:00+01:00,2009-04-08T00:00:00+01:00,2009-04-09T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/GBP,long,2009-04-09T00:00:00+01:00,2009-04-09T00:00:00+01:00,2009-04-10T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/GBP,long,2009-04-14T00:00:00+01:00,2009-04-14T00:00:00+01:00,2009-04-15T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/GBP,short,2009-04-20T00:00:00+01:00,2009-04-21T00:00:00+01:00,2009-04-22T00:00:00+01:00,2,False,2009,2009-2018,supervised
JPY/GBP,short,2009-04-28T00:00:00+01:00,2009-04-28T00:00:00+01:00,2009-04-29T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/GBP,short,2009-05-04T00:00:00+01:00,2009-05-04T00:00:00+01:00,2009-05-05T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/GBP,short,2009-05-07T00:00:00+01:00,2009-05-07T00:00:00+01:00,2009-05-08T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/GBP,long,2009-05-19T00:00:00+01:00,2009-05-19T00:00:00+01:00,2009-05-20T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/GBP,short,2009-05-21T00:00:00+01:00,2009-05-21T00:00:00+01:00,2009-05-22T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/GBP,long,2009-05-22T00:00:00+01:00,2009-05-22T00:00:00+01:00,2009-05-25T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/GBP,short,2009-06-02T00:00:00+01:00,2009-06-02T00:00:00+01:00,2009-06-03T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/GBP,long,2009-06-05T00:00:00+01:00,2009-06-05T00:00:00+01:00,2009-06-08T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/GBP,short,2009-06-16T00:00:00+01:00,2009-06-16T00:00:00+01:00,2009-06-17T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/GBP,long,2009-06-22T00:00:00+01:00,2009-06-22T00:00:00+01:00,2009-06-23T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/GBP,short,2009-06-24T00:00:00+01:00,2009-06-24T00:00:00+01:00,2009-06-25T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/GBP,short,2009-06-29T00:00:00+01:00,2009-06-29T00:00:00+01:00,2009-06-30T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/GBP,long,2009-07-06T00:00:00+01:00,2009-07-07T00:00:00+01:00,2009-07-08T00:00:00+01:00,2,False,2009,2009-2018,supervised
JPY/GBP,short,2009-07-08T00:00:00+01:00,2009-07-08T00:00:00+01:00,2009-07-09T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/GBP,long,2009-07-09T00:00:00+01:00,2009-07-09T00:00:00+01:00,2009-07-10T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/GBP,short,2009-07-10T00:00:00+01:00,2009-07-10T00:00:00+01:00,2009-07-13T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/GBP,short,2009-07-15T00:00:00+01:00,2009-07-15T00:00:00+01:00,2009-07-16T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/GBP,short,2009-07-17T00:00:00+01:00,2009-07-17T00:00:00+01:00,2009-07-20T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/GBP,long,2009-07-21T00:00:00+01:00,2009-07-21T00:00:00+01:00,2009-07-22T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/GBP,long,2009-07-23T00:00:00+01:00,2009-07-23T00:00:00+01:00,2009-07-24T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/GBP,long,2009-07-30T00:00:00+01:00,2009-07-30T00:00:00+01:00,2009-07-31T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/GBP,short,2009-07-31T00:00:00+01:00,2009-08-03T00:00:00+01:00,2009-08-04T00:00:00+01:00,2,False,2009,2009-2018,supervised
JPY/GBP,short,2009-08-07T00:00:00+01:00,2009-08-07T00:00:00+01:00,2009-08-10T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/GBP,short,2009-08-12T00:00:00+01:00,2009-08-13T00:00:00+01:00,2009-08-14T00:00:00+01:00,2,False,2009,2009-2018,supervised
JPY/GBP,long,2009-08-17T00:00:00+01:00,2009-08-18T00:00:00+01:00,2009-08-19T00:00:00+01:00,2,False,2009,2009-2018,supervised
JPY/GBP,short,2009-08-20T00:00:00+01:00,2009-08-20T00:00:00+01:00,2009-08-21T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/GBP,long,2009-08-21T00:00:00+01:00,2009-08-21T00:00:00+01:00,2009-08-24T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/GBP,short,2009-08-26T00:00:00+01:00,2009-08-27T00:00:00+01:00,2009-08-28T00:00:00+01:00,2,False,2009,2009-2018,supervised
JPY/GBP,long,2009-08-28T00:00:00+01:00,2009-08-28T00:00:00+01:00,2009-08-31T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/GBP,short,2009-08-31T00:00:00+01:00,2009-08-31T00:00:00+01:00,2009-09-01T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/GBP,short,2009-09-02T00:00:00+01:00,2009-09-03T00:00:00+01:00,2009-09-04T00:00:00+01:00,2,False,2009,2009-2018,supervised
JPY/GBP,long,2009-09-04T00:00:00+01:00,2009-09-04T00:00:00+01:00,2009-09-07T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/GBP,long,2009-09-09T00:00:00+01:00,2009-09-09T00:00:00+01:00,2009-09-10T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/GBP,short,2009-09-11T00:00:00+01:00,2009-09-15T00:00:00+01:00,2009-09-16T00:00:00+01:00,3,False,2009,2009-2018,supervised
JPY/GBP,long,2009-09-21T00:00:00+01:00,2009-09-21T00:00:00+01:00,2009-09-22T00:00:00+01:00,1,False,2009,2009-2018,supervised
JPY/GBP,short,2009-09-22T00:00:00+01:00,2009-09-23T00:00:00+01:00,2009-09-24T00:00:00+01:00,2,False,2009,2009-2018,supervised
JPY/GBP,long,2009-09-28T00:00:00+01:00,2009-09-28T00:00:00+01:00,2009-09-29T00:00:00+01:00,1,False,2009,2009-2018,supervised
