fold,era,policy,state,pair_observations,traded_notional_jpy,spread_jpy,commission_jpy,trading_cost_jpy,overnight_jpy,cost_jpy,cost_share,trading_cost_share_of_total,overnight_share_of_total,share_of_trading_cost,notional_share,mean_price_simple_contribution,mean_carry_simple_contribution,mean_gross_simple_contribution,mean_net_simple_contribution
2010,2009-2018,supervised,initial_entry,4,3200000.047683716,116.0000017285347,0.0,116.0000017285347,64.00000095367432,180.00000268220901,0.0031801979863757338,0.0020494609245532507,0.001130737061822483,0.003018525413394946,0.003065147869910774,-0.0028426674499853546,1.1331266541323178e-05,-0.0028313361834440315,-0.0028763361841145836
2010,2009-2018,supervised,entry,430,355273956.4823722,12883.254687689496,0.0,12883.254687689496,10027.195850488562,22910.450538178062,0.40477648657099763,0.2276183333624218,0.1771581532085758,0.33524509571161665,0.34030224834995015,0.00014713410099137246,-1.0117002953271227e-05,0.0001370170980381013,8.54434538587415e-05
2010,2009-2018,supervised,exit,430,355395223.8607933,12848.370387410425,0.0,12848.370387410425,0.0,12848.370387410425,0.22700200569658563,0.22700200569658563,0.0,0.33433734445858393,0.3404184053627996,0.0,0.0,0.0,-2.894056338332246e-05
2010,2009-2018,supervised,reversal,199,328851028.31655335,12535.31486868656,0.0,12535.31486868656,4739.772611301105,17275.087479987662,0.3052122088871026,0.2214710139441736,0.0837411949429291,0.3261910856224595,0.3149928168570072,-0.0007015505715351171,4.180302797387559e-06,-0.0006973702687377297,-0.0007812050828799927
2010,2009-2018,supervised,retained,155,1275116.63945171,46.42069984363175,0.0,46.42069984363175,3339.9213962206586,3386.3420960642907,0.05982910085893825,0.0008201500776058672,0.05900895078133238,0.001207948793944826,0.0012213815603322443,0.001280538610265431,-8.297670662561983e-06,0.0012722409396028688,0.0012509883596548551
2010,2009-2018,supervised,inactive,555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,2009-2018,reversal,initial_entry,4,3200000.047683716,124.00000184774399,0.0,124.00000184774399,64.00000095367432,188.0000028014183,0.0072229612631607544,0.004764080833148583,0.002458880430012172,0.014046247344061907,0.013450489671546585,0.0005721919562459935,-1.9349743626928986e-05,0.0005528422126190645,0.0005058422119187098
2010,2009-2018,reversal,entry,146,114452303.27110589,4237.9842945592645,0.0,4237.9842945592645,3136.5859190156452,7374.57021357491,0.2833310329328828,0.16282338264547244,0.12050765028741034,0.48006269963384013,0.48107484377915344,6.759876011410814e-05,-4.435656079009889e-06,6.316310403509825e-05,1.1564929750243842e-05
2010,2009-2018,reversal,exit,146,114328395.73626061,4261.666959054488,0.0,4261.666959054488,0.0,4261.666959054488,0.16373327076094296,0.16373327076094296,0.0,0.4827453815556904,0.4805540259688945,0.0,0.0,0.0,-2.9826251839522234e-05
2010,2009-2018,reversal,reversal,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2010,2009-2018,reversal,retained,638,5928858.576376023,204.32954327941036,0.0,204.32954327941036,13999.539476497284,14203.869019776694,0.5457127350430134,0.00785034230869371,0.5378623927343198,0.02314567146640746,0.02492064058040542,-1.737640049413681e-05,-6.287342906259194e-06,-2.3663743400396007e-05,-4.646650577307858e-05
2010,2009-2018,reversal,inactive,839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,2009-2018,supervised,initial_entry,4,3200000.047683716,116.0000017285347,0.0,116.0000017285347,64.00000095367432,180.00000268220901,0.003237651002157665,0.0020864862013904952,0.00115116480076717,0.003080292439273829,0.0031905214279098425,-1.2040250038160586e-05,-6.041409493789635e-06,-1.808165953195019e-05,-6.308166020250236e-05
2011,2009-2018,supervised,entry,404,330238646.7021046,12125.596381571973,0.0,12125.596381571973,9289.488167038277,21415.08454861025,0.38519204953851954,0.21810249273088547,0.16708955680763407,0.32198605430412225,0.3292604571645784,0.000337646037024048,-8.31275515311258e-06,0.0003293332818709353,0.0002774702447944855
2011,2009-2018,supervised,exit,404,330377378.56359565,12130.017457766111,0.0,12130.017457766111,0.0,12130.017457766111,0.21818201440620363,0.21818201440620363,0.0,0.3221034526435303,0.3293987780927738,0.0,0.0,0.0,-2.937022554515719e-05
